c	gamma	ACC	Sn	Sp	AUC	AP	MCC	TP	TN	FP	FN
0.125	0.0009765625	0.6957446808510638	0.7063829787234043	0.6851063829787234	0.7467632412856497	0.7665429967717501	0.39157800414902433	166.0	161.0	74.0	69.0
0.125	0.001953125	0.7148936170212766	0.723404255319149	0.7063829787234043	0.782308736985061	0.8069582885592743	0.42984950738199107	170.0	166.0	69.0	65.0
0.125	0.00390625	0.7595744680851064	0.7319148936170212	0.7872340425531915	0.8121140787686736	0.8378551506123828	0.5199451159196805	172.0	185.0	50.0	63.0
0.125	0.0078125	0.776595744680851	0.7574468085106383	0.7957446808510639	0.8291896785875962	0.8547876481139275	0.5535976266396866	178.0	187.0	48.0	57.0
0.125	0.015625	0.7829787234042553	0.7617021276595745	0.8042553191489362	0.8434223630602082	0.8638087016886526	0.5664705542999467	179.0	189.0	46.0	56.0
0.125	0.03125	0.7872340425531915	0.774468085106383	0.8	0.8660932548664554	0.8757569824204414	0.5746554184482934	182.0	188.0	47.0	53.0
0.25	3.0517578125e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.5	0.5	0.35319148936170214	159.0	159.0	76.0	76.0
0.25	6.103515625e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.7242734268899955	0.7401848140691067	0.35319148936170214	159.0	159.0	76.0	76.0
0.25	0.0001220703125	0.676595744680851	0.676595744680851	0.676595744680851	0.7247532820280669	0.7345638008079964	0.35319148936170214	159.0	159.0	76.0	76.0
0.25	0.000244140625	0.674468085106383	0.7148936170212766	0.6340425531914894	0.724753282028067	0.7406459521278462	0.350082271712016	168.0	149.0	86.0	67.0
0.25	0.00048828125	0.6978723404255319	0.7106382978723405	0.6851063829787234	0.7474332277048439	0.767449982187748	0.39587373270882437	167.0	161.0	74.0	68.0
0.25	0.0009765625	0.7148936170212766	0.7276595744680852	0.7021276595744681	0.7835038478949753	0.808833006102643	0.4299273871353899	171.0	165.0	70.0	64.0
0.25	0.001953125	0.7595744680851064	0.7361702127659574	0.7829787234042553	0.8133272974196468	0.8406010047103927	0.5197186096506352	173.0	184.0	51.0	62.0
0.25	0.00390625	0.776595744680851	0.7531914893617021	0.8	0.830104119511091	0.857414078115112	0.553798518480185	177.0	188.0	47.0	58.0
0.25	0.0078125	0.7872340425531915	0.7617021276595745	0.8127659574468085	0.8397193300135807	0.8633609584725505	0.5752185199951031	179.0	191.0	44.0	56.0
0.25	0.015625	0.7893617021276595	0.7702127659574468	0.8085106382978723	0.8568673607967406	0.8711862776392747	0.5791482863307491	181.0	190.0	45.0	54.0
0.25	0.03125	0.7978723404255319	0.7872340425531915	0.8085106382978723	0.880624717066546	0.8854788726654657	0.595879571531124	185.0	190.0	45.0	50.0
0.5	3.0517578125e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.4935264825712992	0.4967790448675515	0.35319148936170214	159.0	159.0	76.0	76.0
0.5	6.103515625e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.7174739701222271	0.70178077487772	0.35319148936170214	159.0	159.0	76.0	76.0
0.5	0.0001220703125	0.674468085106383	0.7148936170212766	0.6340425531914894	0.7249071978270711	0.7410272815724821	0.350082271712016	168.0	149.0	86.0	67.0
0.5	0.000244140625	0.6957446808510638	0.7063829787234043	0.6851063829787234	0.7475961973743774	0.7677161126690405	0.39157800414902433	166.0	161.0	74.0	69.0
0.5	0.00048828125	0.7170212765957447	0.7276595744680852	0.7063829787234043	0.7836487098234495	0.80930180006115	0.43414083068696174	171.0	166.0	69.0	64.0
0.5	0.0009765625	0.7702127659574468	0.7531914893617021	0.7872340425531915	0.813300135808058	0.8412400937606122	0.5407389526966506	177.0	185.0	50.0	58.0
0.5	0.001953125	0.7787234042553192	0.7574468085106383	0.8	0.8302037120869172	0.8584355007197146	0.5579522000999475	178.0	188.0	47.0	57.0
0.5	0.00390625	0.7936170212765957	0.7702127659574468	0.8170212765957446	0.839764599366229	0.8654634676100238	0.5878784273097348	181.0	192.0	43.0	54.0
0.5	0.0078125	0.7914893617021277	0.774468085106383	0.8085106382978723	0.8495789950203713	0.8699683052006824	0.5833168229877255	182.0	190.0	45.0	53.0
0.5	0.015625	0.7936170212765957	0.7829787234042553	0.8042553191489362	0.8714350384789498	0.8793768648198934	0.5873670062235365	184.0	189.0	46.0	51.0
0.5	0.03125	0.8106382978723404	0.8085106382978723	0.8127659574468085	0.8910366681756451	0.8935352080014052	0.6212822207789344	190.0	191.0	44.0	45.0
1.0	3.0517578125e-05	0.676595744680851	0.676595744680851	0.676595744680851	0.718153010411951	0.7273596108470024	0.35319148936170214	159.0	159.0	76.0	76.0
1.0	6.103515625e-05	0.674468085106383	0.7148936170212766	0.6340425531914894	0.724907197827071	0.7408012251182113	0.350082271712016	168.0	149.0	86.0	67.0
1.0	0.0001220703125	0.6957446808510638	0.7063829787234043	0.6851063829787234	0.7477048438207334	0.7678598159428195	0.39157800414902433	166.0	161.0	74.0	69.0
1.0	0.000244140625	0.7148936170212766	0.7276595744680852	0.7021276595744681	0.7837573562698055	0.809468258179577	0.4299273871353899	171.0	165.0	70.0	64.0
1.0	0.00048828125	0.7702127659574468	0.7489361702127659	0.7914893617021277	0.8142145767315527	0.8429104926853089	0.5409154916999491	176.0	186.0	49.0	59.0
1.0	0.0009765625	0.7808510638297872	0.7574468085106383	0.8042553191489362	0.8303666817564509	0.8593177348382299	0.5623184956875725	178.0	189.0	46.0	57.0
1.0	0.001953125	0.7893617021276595	0.7702127659574468	0.8085106382978723	0.8387867813490267	0.8654982460199825	0.5791482863307491	181.0	190.0	45.0	54.0
1.0	0.00390625	0.7893617021276595	0.774468085106383	0.8042553191489362	0.8462924400181078	0.8694999992269011	0.5789803198868654	182.0	189.0	46.0	53.0
1.0	0.0078125	0.7893617021276595	0.7787234042553192	0.8	0.8611951109099141	0.8749150287031485	0.5788544409159491	183.0	188.0	47.0	52.0
1.0	0.015625	0.8	0.8	0.8	0.883820733363513	0.8865632623502573	0.6	188.0	188.0	47.0	47.0
1.0	0.03125	0.823404255319149	0.8212765957446808	0.825531914893617	0.8965957446808511	0.8986919686445779	0.6468143668383427	193.0	194.0	41.0	42.0
2.0	3.0517578125e-05	0.674468085106383	0.7148936170212766	0.6340425531914894	0.7251878678134902	0.7413531320321395	0.350082271712016	168.0	149.0	86.0	67.0
