c	gamma	ACC	Sn	Sp	AUC	AP	MCC	TP	TN	FP	FN
0.0625	0.00048828125	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46530471609423063	0.4727808528697141	0.007682286344772147	394.0	273.0	389.0	268.0
0.0625	0.0009765625	0.5045317220543807	0.595166163141994	0.41389728096676737	0.4735911957722182	0.4706307761422963	0.009216122327214502	394.0	274.0	388.0	268.0
0.0625	0.001953125	0.5045317220543807	0.595166163141994	0.41389728096676737	0.48184116610837807	0.480737974478489	0.009216122327214502	394.0	274.0	388.0	268.0
0.0625	0.00390625	0.5052870090634441	0.595166163141994	0.41540785498489424	0.4656333001706812	0.46917069585581267	0.010749112501339485	394.0	275.0	387.0	268.0
0.0625	0.0078125	0.5105740181268882	0.5936555891238671	0.42749244712990936	0.4676744005622439	0.47145263149753264	0.021446175056874323	393.0	283.0	379.0	269.0
0.0625	0.015625	0.5619335347432024	0.7537764350453172	0.37009063444108764	0.5712890535865865	0.5880921899949939	0.1341331222867478	499.0	245.0	417.0	163.0
0.0625	0.03125	0.5883685800604229	0.7854984894259819	0.39123867069486407	0.6022603846259162	0.5843981161030594	0.19231485195643322	520.0	259.0	403.0	142.0
0.125	3.0517578125e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46944852639169043	0.4757623084276168	0.007682286344772147	394.0	273.0	389.0	268.0
0.125	6.103515625e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.4783339874590411	0.47996419030174753	0.007682286344772147	394.0	273.0	389.0	268.0
0.125	0.0001220703125	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46947134473033286	0.4667222176236141	0.007682286344772147	394.0	273.0	389.0	268.0
0.125	0.000244140625	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46945993556101173	0.466711028280432	0.007682286344772147	394.0	273.0	389.0	268.0
0.125	0.00048828125	0.5037764350453172	0.595166163141994	0.4123867069486405	0.47635335566488074	0.4784101222995218	0.007682286344772147	394.0	273.0	389.0	268.0
0.125	0.0009765625	0.5045317220543807	0.595166163141994	0.41389728096676737	0.47341207181387535	0.47006290957216534	0.009216122327214502	394.0	274.0	388.0	268.0
0.125	0.001953125	0.5045317220543807	0.595166163141994	0.41389728096676737	0.46122023347724106	0.4606818574043389	0.009216122327214502	394.0	274.0	388.0	268.0
0.125	0.00390625	0.5234138972809668	0.6419939577039275	0.40483383685800606	0.4889890106881098	0.5143999506702452	0.04820299841506048	425.0	268.0	394.0	237.0
0.125	0.0078125	0.5634441087613293	0.8595166163141994	0.2673716012084592	0.5966219731473791	0.5834235129048895	0.15746248411159178	569.0	177.0	485.0	93.0
0.125	0.015625	0.601963746223565	0.7885196374622356	0.41540785498489424	0.6592628763884959	0.6469046359944588	0.2198000457726859	522.0	275.0	387.0	140.0
0.125	0.03125	0.6193353474320241	0.7190332326283988	0.5196374622356495	0.6718563174852366	0.6698269036494529	0.24356164631822755	476.0	344.0	318.0	186.0
0.25	3.0517578125e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46947134473033286	0.4669390761456913	0.007682286344772147	394.0	273.0	389.0	268.0
0.25	6.103515625e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.4776220552933982	0.4787980700238589	0.007682286344772147	394.0	273.0	389.0	268.0
0.25	0.0001220703125	0.5037764350453172	0.595166163141994	0.4123867069486405	0.4694713447303329	0.4757691539103259	0.007682286344772147	394.0	273.0	389.0	268.0
0.25	0.000244140625	0.5037764350453172	0.595166163141994	0.4123867069486405	0.4783202964558556	0.47995207801437734	0.007682286344772147	394.0	273.0	389.0	268.0
0.25	0.00048828125	0.5037764350453172	0.595166163141994	0.4123867069486405	0.47104010551199793	0.4683375849386948	0.007682286344772147	394.0	273.0	389.0	268.0
0.25	0.0009765625	0.5045317220543807	0.595166163141994	0.41389728096676737	0.4581420395943812	0.4605966020400842	0.009216122327214502	394.0	274.0	388.0	268.0
0.25	0.001953125	0.5324773413897281	0.6858006042296072	0.37915407854984895	0.4860876589297286	0.5205934629996571	0.0682423633965769	454.0	251.0	411.0	208.0
0.25	0.00390625	0.5687311178247734	0.850453172205438	0.28700906344410876	0.6079307417785526	0.5910908657337008	0.16638811284287952	563.0	190.0	472.0	99.0
0.25	0.0078125	0.6095166163141994	0.7673716012084593	0.4516616314199396	0.6668705104918721	0.662267663817595	0.23083933988907404	508.0	299.0	363.0	154.0
0.25	0.015625	0.6283987915407855	0.6993957703927492	0.5574018126888217	0.6756281888628253	0.6701221819832655	0.2594262128382437	463.0	369.0	293.0	199.0
0.25	0.03125	0.6321752265861027	0.6646525679758308	0.5996978851963746	0.680559231843448	0.6731612931175444	0.2649098859555639	440.0	397.0	265.0	222.0
0.5	3.0517578125e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.46880961290970324	0.4649234823768138	0.007682286344772147	394.0	273.0	389.0	268.0
0.5	6.103515625e-05	0.5037764350453172	0.595166163141994	0.4123867069486405	0.4625163151121293	0.457138626847691	0.007682286344772147	394.0	273.0	389.0	268.0
